instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
City College,2,23184936,33721307,4895,1488,500,8644,10200,403,1519
Vatterott College,3,113581811,113538553,6081,8013,216,13854,10800,1147,9578
Warren County Community College,1,6125170,11712928,2984,1157,705,2286,2574,238,2180
St John's College,2,19498954,25791945,5573,2900,30308,5453,39992,149,500
Mid-America Christian University,2,11592921,12482223,4865,3120,7159,6489,12480,261,1269
Beckfield College,3,18246840,21286150,4549,1176,740,9287,10296,251,1397
Sussex County Community College,1,13945078,29230468,4335,2218,1298,4034,6060,438,4208
Landmark College,2,23441323,26414509,4847,3938,18463,5613,45300,97,499
Collin County Community College District,1,29200548,144036142,4438,1434,1853,5064,1575,1707,24872
ECPI College of Technology,3,197699490,201399719,5198,1450,557,7213,11725,2661,12194
Laurel Business Institute,3,3401527,3855983,5495,3259,5384,5667,7600,68,264
ITT Technical Institute-Newburgh,3,8865999,8824291,4970,1230,1490,11108,16848,147,521
Everest University-Brandon,3,139271177,139271177,4509,753,2430,9690,13356,995,9886
Kaplan University,3,940622515,763821838,4800,2281,1814,11190,12708,7810,71802
St Charles Community College,1,15431732,47465781,3751,1503,1642,3413,2832,655,7814
New College of Florida,1,6627442,31645001,5283,4485,3873,4071,3396,153,825
Luna Community College,1,1137785,15152162,3212,812,1006,2287,960,72,1791
Caribbean University-Ponce,2,5796608,3239857,6077,257,2800,2635,3720,172,1402
Caribbean University-Vega Baja,2,3030476,1696105,5897,402,1974,2078,3720,145,697
Paradise Valley Community College,1,14409307,44999600,4122,689,1343,3869,1704,559,9951
Chandler/Gilbert Community College,1,16805636,52312155,4234,824,1668,3700,1704,545,11058
The Art Institute of New York City,3,29545268,35473665,5592,3602,758,10137,25440,267,1329
Computer Career Center,3,14333569,14333569,5292,1635,2924,6686,17914,54,994
Pennsylvania College of Technology,1,81074919,134396352,4228,2915,1142,7884,10500,1599,6409
Suffolk County Community College,1,87940140,202498747,3267,1512,1667,2023,3576,2680,24822
Las Positas College,1,6364779,58832958,4503,819,406,6347,728,529,9790
Remington College-Mobile Campus,3,8305177,8302771,3869,312,990,5888,14742,30,555
Southwest Florida College,2,4973110,5016150,4628,692,3057,8044,10440,434,2432
ITT Technical Institute-Knoxville,3,18541415,18489514,4326,774,2554,11226,16848,221,997
California State University-San Marcos,1,51333222,130328255,5164,2265,3787,5070,11160,1945,9767
Pinnacle Career Institute,3,1946514,2015525,3523,1774,2420,5476,13244,0,128
McNally Smith College of Music,3,13566048,13885507,3871,2558,6969,12320,20280,125,680
Le Cordon Bleu Institute of Culinary Arts,3,17527491,20561925,4575,2846,5775,8326,18850,373,835
NorthWest Arkansas Community College,1,19535770,44584144,4726,2041,1141,6087,2472,578,8006
Hodges University,2,33394717,34735669,5087,2231,1209,6235,11040,576,2292
Argosy University-Atlanta,3,30227134,29392311,3226,475,6120,14095,18360,401,2697
Nossi College of Art,3,4547148,4547148,4898,2422,1642,9670,11950,129,445
Bryant and Stratton College-Eastlake Campus,3,12431103,12027108,2522,2267,631,4560,22005,166,795
University of Phoenix-Online Campus,3,3552223903,3479529376,4376,996,585,10083,9192,71256,380232
Institute of Business and Medical Careers,3,9919519,9919519,3263,1000,1500,7500,10800,166,293
ITT Technical Institute-Lake Mary,3,10700352,10635347,5292,1373,3229,9273,16848,137,650
Brown Mackie College-Findlay,3,16012146,17173900,5410,7725,2161,9614,13570,144,1028
Oakbridge Academy of Arts,3,770658,729308,4642,4148,5138,5331,10275,13,60
Northwest College of Art,3,2029546,1999583,5738,5620,1583,10649,16100,25,104
ITT Technical Institute-Torrance,3,16649591,16612819,5848,7506,2803,11175,16848,270,980
Remington College-Houston Campus,3,10399575,10397232,4458,1750,819,6482,14395,58,651
Bay Mills Community College,1,1463300,8476528,4580,2072,2145,3000,2380,24,608
Fond du Lac Tribal and Community College,1,5055000,12222000,4060,1399,991,5319,4190,242,2305
Provo College,3,9512439,9337210,5169,4073,2063,10086,13977,133,487
Westwood College-Denver South,3,9550160,10300688,4935,1214,1601,10865,13652,99,445
ITT Technical Institute-San Bernardino,3,28671528,28482516,5995,7506,3009,9693,16848,406,1549
Hawaii Community College,1,3682727,24655719,4289,2229,1156,5114,1896,350,3275
Beacon College,2,3767247,5451332,5339,2506,6543,4043,27000,32,128
Estrella Mountain Community College,1,12417731,39236605,4188,1092,1318,3945,1704,525,7747
Heartland Community College,1,12430415,42766329,4096,994,2220,3457,5280,640,5266
Everglades University,2,16527872,19616810,2534,506,389,4494,12120,265,1039
Virginia College-Pensacola,3,8631316,8738949,5272,942,1672,6050,11712,59,575
Everest University-South Orlando,3,129673156,129673156,4639,789,1937,9697,13356,653,7799
Watkins College of Art & Design,2,5628559,6743351,3925,4327,3388,6207,14263,52,412
American Auto Institute,3,782656,782656,4729,4000,462,8483,12000,,122
Mt Sierra College,3,5366454,5480346,3801,3705,1400,8793,15696,60,465
Southern California Institute of Technology,3,7808055,8021465,4186,5328,1164,7575,14000,73,686
Soka University of America,2,6375858,81332396,5313,9066,17146,7533,24606,80,435
Coconino County Community College,1,6593400,20627344,4598,1295,818,5371,1800,195,3981
Sanford-Brown College,3,14151601,14177264,3526,7848,544,6171,25204,19,1513
Sanford-Brown Institute,3,9692039,9885664,3809,9562,1016,6044,11688,10,875
Technical Career Institute,3,10013054,9793835,4868,4034,1071,2690,10650,100,901
ASA Institute of Business and Computer Technology,3,65263272,62522679,5523,3353,3937,5595,11880,1045,4582
University of Phoenix-New Mexico Campus,3,44678805,45264696,4039,9450,323,9722,8472,966,5120
University of Phoenix-Southern California Campus,3,233228995,235087402,3819,7108,409,9945,11400,6104,22174
ITT Technical Institute-Jacksonville,3,10437568,10371365,5762,1529,2982,9968,16848,160,592
ITT Technical Institute-Omaha,3,10977574,10926656,4050,1375,2562,11134,16848,155,617
Brown Mackie College-Fort Wayne,3,24745595,26875735,5644,2598,2715,11497,11280,284,1679
Texas State Technical College-Marshall,1,2954100,9760530,6713,2290,879,6423,2412,139,963
ITT Technical Institute-Fort Lauderdale,3,14158718,14121278,4797,1112,1926,9989,16848,199,785
South Texas College,1,60878678,158448523,4976,1774,1459,738,1826,1927,26338
California State University-Monterey Bay,1,25760664,92758426,5100,2347,4965,4824,11160,681,4688
The Art Institute of California-Hollywood,3,28078743,30313834,7323,5446,2786,13543,23184,133,1256
ITT Technical Institute-Louisville,3,16726614,16698618,5128,820,1972,11070,16848,233,975
ITT Technical Institute-Cordova,3,17783448,17775960,5211,1428,3335,10692,16848,246,1009
ITT Technical Institute-Everett,3,8791256,8725784,6455,2562,1988,10291,16848,130,506
ITT Technical Institute-Pittsburgh,3,7176092,7168604,7031,2655,3458,8857,16848,96,407
Pennsylvania Highlands Community College,1,5571416,10701504,4219,812,2066,3491,5280,160,1768
College of Business and Technology,3,12287926,11909011,5291,1302,2561,4970,9936,168,521
Messenger College,2,401923,1075260,3099,1000,1267,5832,7000,11,86
Northern Tier Career Center,1,561702,746121,5001,1207,783,11225,9924,,37
Jna Institute of Culinary Arts,3,1056340,1144659,4788,3700,3700,6226,10000,21,49
The College of Saint Thomas More,2,170802,658957,5350,5712,5914,3500,12000,1,70
ITT Technical Institute-Getzville,3,10829262,10814286,5777,2784,2437,10521,16848,141,588
York County Community College,1,2996035,9049206,4311,844,959,4173,2352,92,1358
Arkansas State University-Mountain Home,1,3457808,14367126,1862,569,1092,1975,2310,170,1517
Tillamook Bay Community College,1,825590,4796543,3120,1038,1429,3667,2592,44,310
School of Communication Arts,3,8308975,8300475,2817,750,850,8441,21000,75,346
New York Conservatory for Dramatic Arts,3,8577146,9904741,4650,3525,3052,6171,24250,,305
Oregon Coast Community College,1,1139516,6822504,4512,2313,1500,5952,3456,59,653
Le Cordon Bleu College of Culinary Arts,3,53051467,58602869,4275,4028,2757,9770,18450,571,2253
Keiser Career College-Greenacres,3,21533460,25020613,2330,860,683,4801,13376,225,1754
Klamath Community College,1,3865844,12847791,4404,2391,949,5594,2340,65,1208
The Art Institute of Phoenix,3,30457165,33545990,6230,1172,4768,11760,29888,210,1243
Colorado Technical University,3,11560906,12533288,5340,1458,432,8856,10440,252,1079
ITT Technical Institute-Miami,3,14329196,14295750,5166,762,2994,13496,16848,194,828
ITT Technical Institute-Harrisburg,3,7351667,7351667,5330,3062,3250,8664,16848,105,403
ITT Technical Institute-Monroeville,3,6423875,6423875,5450,3105,2396,10266,16848,112,315
New Hampshire Institute of Art,2,6444999,9194670,3950,840,5027,10184,15400,67,445
Mercy Hospital School of Nursing,2,1067303,1265577,4042,2784,620,5041,8840,,75
DeVry College of New York,3,33485543,32738657,4455,2809,2694,6980,14720,152,1817
University of Phoenix-Central Florida Campus,3,57791415,60035158,4082,1034,317,10220,8928,1923,6189
Delaware College of Art and Design,2,3405779,9135068,5186,2180,3938,7021,17100,60,226
The Art Institute of California-Los Angeles,3,47491864,51480462,6120,4180,1788,9430,24144,406,2159
Western Governors University,2,109044778,114124436,2871,1875,936,5442,5780,2027,15870
Spencerian College-Lexington,3,6557561,6774748,4193,1625,447,10498,15500,87,618
Florida Gulf Coast University,1,52637456,145897935,4934,2497,2675,6480,2830,2082,11092
ITT Technical Institute-Albany,3,7534182,7534182,5539,2572,2181,9973,16848,107,430
ITT Technical Institute-Liverpool,3,6664665,6647407,5773,2628,2142,11935,16848,94,355
The Community College of Baltimore County,1,66476846,169238921,4452,776,1430,4977,4392,1703,23584
Blue Cliff College-Metairie,3,3933770,4016317,5350,750,587,9500,13144,12,355
River Parishes Community College,1,1080213,7522513,4650,1430,667,5805,1704,78,1805
Century College,3,208983,68372,5750,200,110,1750,6400,,274
Baton Rouge Community College,1,13972380,33279744,4129,972,541,1549,1548,340,8104
ITT Technical Institute-Lathrop,3,14221199,14150812,5577,12360,2218,10540,16848,275,737
Westwood College-Anaheim,3,26207167,27431206,5513,2579,2382,11108,13957,205,1206
American InterContinental University,3,31667415,33629907,5981,1127,1518,9055,15150,453,2050
American InterContinental University,3,15033803,15812105,6214,1309,1318,10529,16037,322,904
University of Phoenix-Philadelphia Campus,3,9584385,9796397,3933,4725,185,9894,10800,244,1053
Remington College-Little Rock Campus,3,7334961,7339603,3879,4728,1099,5914,14427,25,522
Everest University-Jacksonville,3,19882299,19882299,5541,808,5950,8873,13356,128,1279
Harrison College-Fort Wayne,3,6802061,7727598,4023,1243,2000,8196,11205,121,657
DeVry University-Florida,3,55283878,52586381,4452,1476,1619,7667,14080,864,4423
Crossroads Bible College,2,1751552,2167373,3674,2070,1750,7639,11850,38,222
King's College and Seminary,2,3035053,6068017,5745,1200,4650,9387,7020,49,422
Rosedale Bible College,2,650463,2093751,4032,816,664,5876,7470,9,61
Ivy Tech Community College-Bloominton,1,13030539,22107868,4428,1789,772,6179,2990,339,5906
Remington College-Baton Rouge,3,7561342,7571357,3848,938,202,6178,14398,28,480
Everest College-Ontario Metro,3,16744216,16744216,5929,3704,2818,9632,12681,250,986
The Art Institute of Washington,3,48220018,52781614,5491,4461,2061,10162,22656,203,2151
University of Phoenix-Houston Westside Campus,3,30752814,31544513,3858,4285,195,10009,9528,836,2987
Westwood College-Inland Empire,3,26945107,28430699,5804,4611,2306,11747,13957,212,1140
DeVry University-Colorado,3,19068652,18557405,3879,1326,2612,7218,14080,268,1602
ITT Technical Institute-Bensalem,3,12417925,12370002,6531,3096,2870,12188,16848,168,669
National American University-Ellsworth AFB Extension,3,1457720,1489933,5047,1600,1447,3500,5954,29,329
National American University-Brooklyn Center,3,6659434,6819469,4217,2638,300,11045,12960,41,478
Somerset Christian College,2,2754751,4645681,4472,5523,1449,6956,10944,23,241
International Academy of Design and Technology,3,19430497,20891246,5324,1938,1119,10625,16800,202,1121
Lincoln Technical Institute,3,5267414,5295438,4356,250,2899,6664,16847,,735
Blue Cliff College,3,2458769,2523276,4178,3644,379,7959,13144,0,238
Lamar Institute of Technology,1,12067406,24745518,3777,2680,891,4285,2112,402,3154
Nevada State College,1,6775000,22219000,4251,1194,1543,4588,3083,245,2516
Virginia College-Austin,3,11045209,11046288,5723,2399,1976,10134,12414,120,865
California State University-Channel Islands,1,20567427,95353512,4561,2737,3145,5306,11160,784,3862
The Art Institute of California-Orange County,3,44436287,46826106,6275,3818,4286,10899,24144,312,1873
Franklin W. Olin College of Engineering,2,12123690,34416660,6071,1500,36925,4188,36400,84,339
University of Phoenix-Kansas City Campus,3,7378084,7380922,3893,3053,210,9678,9528,187,825
Le Cordon Bleu College of Culinary Arts,3,20549347,22762044,4246,9110,1260,7300,39500,384,1113
ITT Technical Institute-King of Prussia,3,10024337,10024337,4494,3140,2571,12297,16848,110,575
Lancaster General College of Nursing & Health Sciences,2,8749016,17969164,2411,2177,2750,7019,15300,223,889
DeVry University-Pennsylvania,3,38516900,38802823,4065,2824,2203,7286,14400,313,2429
West Coast University,3,50613655,50629507,3847,5502,1643,13753,65636,371,1792
DigiPen Institute of Technology,3,14237766,14789504,3110,3551,1592,16064,17463,154,890
University of Phoenix-Little Rock Campus,3,9198132,9547587,4416,3000,261,9592,8160,112,1258
Remington College-Cleveland West Campus,3,7492767,7505417,4054,7817,146,6977,14280,24,436
Colorado Technical University Online,3,382982228,361907515,3940,9131,740,9865,14432,7540,30924
The Art Institute of Tucson,3,7719866,8596514,6206,10057,1660,9577,16812,8,346
American InterContinental University-Online,3,336577895,343658385,4745,11747,795,10585,16803,10095,26630
ITT Technical Institute-Eden Prairie,3,11214283,11168907,5065,417,2580,11818,16848,174,673
Le Cordon Bleu College of Culinary Arts,3,13539375,15565522,4312,5100,2589,8532,28500,269,723
University of California-Merced,1,33507000,109767000,5327,7666,6396,4899,6888,385,3414
Remington College-Nashville Campus,3,7535355,7549602,3831,3020,375,6339,14149,6,449
University of Phoenix-Minneapolis/St Paul Campus,3,3153181,3215421,3801,2054,157,9756,10032,105,341
University of Phoenix-Louisville Campus,3,1769352,1837474,3905,1732,404,9070,8400,37,187
DeVry University-Minnesota,3,5075430,4913040,4124,2678,5835,8195,14080,81,573
Kaplan University-Council Bluffs Campus,3,6476396,4829111,4966,1330,1176,10577,14515,69,332
L'Ecole Culinaire,3,10598257,10594724,5278,3411,123,13198,11100,169,614
Ave Maria University,2,12627449,36779409,4356,2480,9845,5783,17165,140,825
Central State Massage Academy,3,503926,644703,3537,250,2841,5862,5620,,69
Community Christian College,2,1093985,1253298,4712,1487,3232,4927,9998,13,74
Ecclesia College,2,1402869,1824050,4878,1000,6473,5704,14250,16,191
Harrisburg University of Science and Technology,2,3330574,5769205,4720,3714,3635,7354,18000,33,216
The Art Institute of Ohio-Cincinnati,3,16216495,18678601,6693,1840,1993,14033,17918,163,725
International Academy of Design and Technology,3,7612261,7696688,4881,525,4998,12904,23100,54,512
International Academy of Design and Technology,3,9084664,9849125,5319,2167,2818,12427,14400,131,695
Le Cordon Bleu College of Culinary Arts,3,20104189,22119100,4717,880,4536,8411,38450,507,1114
Le Cordon Bleu College of Culinary Arts,3,16910023,19338298,4311,1185,281,7988,19875,321,835
ITT Technical Institute-Owings Mills,3,23986142,23909526,5148,2700,1869,10445,16848,293,1351
Brown Mackie College-Miami,3,15521343,16088025,5773,401,1000,10934,16128,188,855
Harrison College-Northwest,3,3529842,4003991,4183,1705,833,13641,11205,76,318
Eagle Gate College,3,3672326,3620183,5043,6967,2107,9969,13568,17,311
Georgia Gwinnett College,1,11260776,43451505,5022,3072,3880,4784,2280,90,2947
Shorter College-Professional Studies,2,11335793,11335793,5197,616,5112,9222,8160,755,2170
The Art Institute of Indianapolis,3,21522994,22867986,6007,3122,1376,14353,16812,75,1057
MedTech College,3,20609360,23859694,5363,1778,2000,9053,12684,525,1927
ITT Technical Institute-Clovis,3,8853921,8773892,5037,6633,2784,7274,16848,120,554
ITT Technical Institute-Dunmore,3,4997579,4997579,4344,2512,2654,9098,16848,70,290
